buoy_day_ID,buoy,day,latitude,longitude,zon_winds,mer_winds,humidity,airtemp,s_s_temp
1,1,1,8.96,-140.32,-6.3,-6.4,83.5,27.32,27.57
2,1,2,8.95,-140.32,-5.7,-3.6,86.4,26.7,27.62
3,1,3,8.96,-140.32,-6.2,-5.8,83,27.36,27.68
4,1,4,8.96,-140.34,-6.4,-5.3,82.2,27.32,27.7
5,1,5,8.96,-140.33,-4.9,-6.2,87.3,27.09,27.85
6,1,6,8.96,-140.33,-6.3,-4.9,91.5,26.82,27.98
7,1,7,8.97,-140.32,-6.7,-3.7,94.1,26.62,28.04
8,1,8,8.96,-140.33,-6.3,-4.8,92,26.89,27.98
9,1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44,28.13
10,1,10,8.97,-140.32,-4.2,-2.5,87.3,26.62,28.14
11,1,11,8.96,-140.32,-6.8,-2.4,86,27.6,28.09
12,1,12,8.96,-140.33,-7.1,-3.2,82.2,27.87,28.15
13,1,13,8.96,-140.33,-6.7,-4.7,81.3,27.75,28.19
14,2,1,4.93,-139.87,-2.9,-1.2,87.6,26.84,28.35
15,2,2,4.92,-139.86,0.4,-1.6,82.3,27.3,28.48
16,2,3,4.92,-139.87,-4,-4.6,83,28,28.61
17,2,4,4.92,-139.88,-6.3,-3.2,87.6,27.61,28.55
18,2,5,4.93,-139.87,-4.1,3.3,84.6,27.69,28.35
19,2,6,4.93,-139.87,-5.4,1.9,81.9,27.96,28.48
20,2,7,4.93,-139.86,-4.7,0.9,80.3,28.08,28.54
21,2,8,4.92,-139.87,-2.5,-0.9,84.2,27.61,28.72
22,2,9,4.93,-139.87,-5.1,2,84.6,27.42,28.66
23,2,10,4.93,-139.86,-1.3,0.7,80,27.65,28.73
24,2,11,4.93,-139.85,-5.4,-1.2,83.4,27.89,28.84
25,2,12,4.93,-139.86,-6.2,-4,82.7,27.77,28.63
26,2,13,4.93,-139.87,-4.8,2.6,82.3,27.42,28.48
27,3,1,2.00,-139.95,-0.3,3.2,86.8,27.1,27.85
28,3,2,2.00,-139.96,-1.6,1.1,83.6,27.42,28.06
29,3,3,1.99,-139.97,-3.9,-2.5,87.5,27.3,28.01
30,3,4,1.98,-139.96,-4.7,1.4,88.3,26.98,27.95
31,3,5,1.99,-139.97,-5.3,2.5,82.5,27.14,27.99
32,3,6,2.00,-139.97,-6.8,0.5,82.8,27.46,27.89
33,3,7,2.00,-139.97,-5.6,0.5,84,27.02,27.49
34,3,8,2.00,-139.96,-3.4,2,87.2,26.55,27.27
35,3,9,2.00,-139.97,-4.5,2.3,82.1,25.59,26.97
36,3,10,2.00,-139.96,-4.1,0.4,79.3,25.47,27.07
37,3,11,1.99,-139.97,-5.8,0.7,83.2,26.27,27.37
38,3,12,2.00,-139.97,-7.2,2.8,83.2,26.23,27.26
39,3,13,2.00,-139.98,-5.8,0.5,78.1,25.79,27.1
40,3,14,2.00,-139.99,-5.4,-0.4,77.8,25.91,26.85
41,4,1,-0.01,-139.94,0.7,0.3,93.1,26.54,26.42
42,4,2,-0.02,-139.93,-1.5,-0.4,92.3,26.51,26.49
43,4,3,-0.01,-139.94,-3.4,-1.4,92.3,26.53,26.42
44,4,4,-0.02,-139.94,-4.3,1.3,92.3,26.18,26.02
45,4,5,-0.02,-139.94,-3.7,0.4,92.3,25.79,25.77
46,4,6,-0.01,-139.94,-5.1,-2.5,92.3,26.03,25.7
47,4,7,-0.02,-139.94,-5.4,-2.1,88.1,25.5,25.15
48,4,8,-0.02,-139.94,-3.6,-0.6,90.4,25.04,24.82
49,4,9,-0.02,-139.94,-3.3,0.3,88.8,24.63,24.51
50,4,10,-0.02,-139.93,-3,-2.7,87.3,24.51,24.36
51,4,11,-0.02,-139.93,-4.7,-1,90.4,24.19,24.15
52,4,12,-0.02,-139.93,-5.2,0.2,87.3,24.02,24.1
53,4,13,-0.01,-139.94,-4.7,-1,88.4,24.21,24.15
54,5,1,-2.02,-139.96,1.7,1.2,87.3,27.36,28.71
55,5,2,-2.00,-139.96,-1.1,-1.9,86.9,27.28,28.43
56,5,3,-2.01,-139.97,-3.7,-2.7,84.8,27.43,28.47
57,5,4,-2.01,-139.97,-4.4,-3,81.9,27.75,28.83
58,5,5,-2.02,-139.97,-3.9,-1.4,83.6,27.91,28.92
59,5,6,-2.02,-139.96,-5.8,-3.4,88.9,27.75,28.71
60,5,7,-2.03,-139.97,-4.5,-5.2,87.7,27.08,28.27
61,5,8,-2.02,-139.97,-3.6,-4.5,83.1,26.6,27.7
62,5,9,-2.02,-139.96,-2.6,-2.3,84.4,26.41,27.27
63,5,10,-2.02,-139.96,-1.2,-5.1,88.5,25.93,27
64,5,11,-2.01,-139.96,-4,-4.3,84.4,25.54,26.77
65,5,12,-2.01,-139.96,-4,-3.1,84.8,25.69,26.87
66,5,13,-2.02,-139.96,-2.8,-4.5,89.3,25.61,26.86
67,5,14,-2.02,-139.97,,,,25.26,26.55
68,6,1,-5.01,-139.92,-0.6,3.5,83.8,28.02,28.94
69,6,2,-5.01,-139.91,0.2,-2.5,85.4,27.13,28.85
70,6,3,-5.01,-139.92,-3.9,-3.4,79.8,28.38,29.03
71,6,4,-5.01,-139.92,-4.2,-2.5,79.4,28.18,28.98
72,6,5,-5.01,-139.92,-3,0.3,82.6,27.87,29.04
